id,company_name,topic_title,description,required_skills,industry_sector,contact_type
19,Emmi,"Direct-to-Consumer Strategy for Swiss Dairy","Evaluate D2C e-commerce opportunities for a Swiss dairy brand. Analyze consumer behavior, logistics challenges, and digital marketing strategies.","e-commerce, marketing, business strategy",Food & Beverage,project_mentor
20,Georg Fischer (GF),"Predictive Quality Control in Precision Manufacturing","Implement a machine learning model for predicting quality defects in precision casting processes. Use historical production data and sensor readings.","manufacturing, ML, quality engineering",Precision Manufacturing,technical_contact
21,Syngenta,"AI for Crop Disease Detection in Swiss Agriculture","Develop an image classification model to detect crop diseases from field photographs. Focus on common Swiss crops and local disease patterns.","computer vision, agriculture, mobile development",Agriculture,technical_contact
22,Temenos,"Conversational Banking Interface Design","Design and prototype a conversational AI interface for retail banking. Focus on natural language interactions for common banking tasks.","NLP, UX design, banking",Banking Software,project_mentor
23,Geberit,"Water Conservation IoT System","Design an IoT-based water monitoring and conservation system for commercial buildings. Include leak detection and usage optimization.","IoT, embedded systems, sustainability",Building Technology,technical_contact
24,Straumann,"3D Printing Workflow Optimization in Dental Labs","Optimize the digital workflow for 3D-printed dental implants. Analyze bottlenecks and propose automation opportunities.","3D printing, process optimization, dental technology",Dental Technology,company_supervisor
25,SIX Group,"Real-Time Market Anomaly Detection","Build a real-time anomaly detection system for Swiss financial market data. Focus on identifying unusual trading patterns and potential market manipulation.","financial data, anomaly detection, streaming data",Financial Infrastructure,technical_contact
26,Schindler,"Elevator Traffic Pattern Analysis","Analyze elevator traffic patterns in mixed-use buildings to optimize dispatching algorithms. Use simulation to test improvement strategies.","simulation, optimization, building management",Elevator & Escalator,company_supervisor
27,Lindt & Sprüngli,"Consumer Sentiment Analysis for Product Innovation","Analyze online consumer sentiment about chocolate products to identify innovation opportunities. Use NLP on reviews, social media, and survey data.","NLP, sentiment analysis, consumer insights",Confectionery,project_mentor
28,Bobst,"Predictive Supply Chain for Packaging Machinery","Develop a predictive model for spare parts demand in packaging machinery. Optimize inventory levels while maintaining service commitments.","supply chain, forecasting, inventory management",Packaging Machinery,company_supervisor
29,Swiss Re,"Natural Catastrophe Risk Communication Tool","Create an interactive visualization tool that communicates natural catastrophe risks to non-technical stakeholders. Focus on Swiss-relevant perils.","data visualization, risk communication, geospatial",Reinsurance,project_mentor
30,Kudelski Group,"Cybersecurity Threat Intelligence Dashboard","Design a threat intelligence dashboard for Swiss SMEs. Aggregate and visualize relevant cyber threats based on industry and company profile.","cybersecurity, data visualization, threat intelligence",Digital Security,technical_contact
